ID,Dispositivo,Marca,Modelo,Tipo,Componente_Fallido,Error_Especifico,Diagnostico,Severidad,Solucion_Recomendada,Estado,Costo_Estimado_USD,Tiempo_Reparacion_Horas
1222,Tablet,Xiaomi,Pad 6,Económica,Disco Duro/SSD,"Disco se desconecta aleatoriamente, cable SATA defectuoso","Diagnóstico general: Disco se desconecta aleatoriamente, cable SATA defectuoso. Se requiere revisión técnica especializada.",Media,Ejecutar CHKDSK y reparación de sectores. Monitorear SMART diariamente.,En diagnóstico,152.17,4.0
1223,Laptop,Huawei,MateBook D15,Empresarial,Pantalla,"Backlight no enciende, pantalla muy oscura","Fallo en sistema de visualización. Backlight no enciende, pantalla muy oscura. Verificar cable flex y controlador de backlight.",Alta,Reemplazar panel o componente de backlight. Cotizar reparación vs equipo nuevo.,Requiere reemplazo de componente,61.28,9.4
1224,Laptop,Toshiba,Dynabook E10,Gaming,Disco Duro/SSD,"Disco lento, tiempos de lectura excesivos y errores SMART","Diagnóstico general: Disco lento, tiempos de lectura excesivos y errores SMART. Se requiere revisión técnica especializada.",Media,Ejecutar CHKDSK y reparación de sectores. Monitorear SMART diariamente.,En diagnóstico,165.31,5.6
1225,Laptop,ASUS,ProArt StudioBook,Chromebook,GPU,GPU integrada causa parpadeo en pantalla,Pantalla defectuosa. GPU integrada causa parpadeo en pantalla. Inspeccionar conexiones y testear con pantalla externa.,Alta,Reflow o reball de GPU. Reemplazar pasta térmica. Verificar alimentación.,Requiere reemplazo de componente,354.62,5.8
1226,Laptop,Lenovo,ThinkBook 15,Premium,RAM,Error BAD_POOL_HEADER por corrupción de pool de memoria,Diagnóstico general: Error BAD_POOL_HEADER por corrupción de pool de memoria. Se requiere revisión técnica especializada.,Media,Limpiar contactos con alcohol isopropílico. Reubicar módulos en slots diferentes.,En diagnóstico,26.27,5.6
1227,Laptop,MSI,GF63 Thin,Gaming,RAM,"RAM no detectada, sistema muestra menos memoria de la instalada","Problema de memoria. RAM no detectada, sistema muestra menos memoria de la instalada. Revisar slots y limpieza de contactos con alcohol isopropílico.",Alta,Reemplazar módulo RAM dañado. Probar con módulo nuevo en slot afectado.,En diagnóstico,45.51,21.0
1228,Laptop,Acer,ConceptD 3,2 en 1,Conectividad,"Conexión WiFi se cae constantemente, driver inestable","Diagnóstico general: Conexión WiFi se cae constantemente, driver inestable. Se requiere revisión técnica especializada.",Media,Actualizar drivers y firmware. Verificar configuración de red.,En diagnóstico,49.77,3.7
1229,Computadora,Acer,Aspire XC,All-in-One,Motherboard,"VRM de motherboard sobrecalentado, throttling severo","Fallo en placa madre. VRM de motherboard sobrecalentado, throttling severo. Evaluar viabilidad de reparación vs reemplazo.",Media,Reparar pista o componente específico. Verificar todos los circuitos de alimentación.,Garantía vigente,142.99,5.0
1230,Computadora,Huawei,MateStation X,Mini PC,Disco Duro/SSD,"SSD con error de sobretemperatura, throttle de escritura","Diagnóstico general: SSD con error de sobretemperatura, throttle de escritura. Se requiere revisión técnica especializada.",Baja,Ejecutar optimización de disco. Liberar espacio en SSD para mejorar rendimiento.,Reparable,100.51,0.7
1231,Laptop,Lenovo,Legion 5,Gaming,GPU,GPU no detectada en Administrador de dispositivos,Problema de vídeo por GPU. GPU no detectada en Administrador de dispositivos. Verificar alimentación PCIe y conectores de poder.,Baja,Actualizar drivers de GPU. Ajustar configuración de rendimiento.,En diagnóstico,598.48,3.0
1232,Laptop,Huawei,MateBook D15,Económica,BIOS,"Actualización de BIOS fallida, sistema no arranca","Error de inicialización de BIOS detectado. Actualización de BIOS fallida, sistema no arranca. Verificar batería CMOS y versión de firmware.",Alta,Flashear BIOS desde USB con método de recuperación del fabricante. Verificar versión actual.,Reparable,136.02,17.9
1233,Computadora,Huawei,MateStation X,Workstation,Disco Duro/SSD,"Disco muestra capacidad incorrecta, tabla de particiones dañada","Diagnóstico general: Disco muestra capacidad incorrecta, tabla de particiones dañada. Se requiere revisión técnica especializada.",Crítica,Clonar disco inmediatamente si es posible. Reemplazo urgente de unidad. Recuperación de datos profesional.,Requiere reemplazo de componente,138.57,12.9
1234,Computadora,Custom/Genérica,PC Economica Ryzen 5,Gaming,Disco Duro/SSD,"SSD no detectado en BIOS, controlador NVMe dañado","Fallo en firmware BIOS. SSD no detectado en BIOS, controlador NVMe dañado. Se recomienda reemplazo de chip BIOS.",Media,Ejecutar CHKDSK y reparación de sectores. Monitorear SMART diariamente.,Reparable,87.53,1.7
1235,Laptop,Apple,MacBook Pro 13 M2,Ultrabook,GPU,GPU no detectada en Administrador de dispositivos,Problema de vídeo por GPU. GPU no detectada en Administrador de dispositivos. Verificar alimentación PCIe y conectores de poder.,Media,Reinstalar drivers con DDU. Verificar temperatura y ventilación de GPU.,Garantía vigente,212.77,4.5
1236,Laptop,Huawei,MateBook D15,Económica,Pantalla,"Pantalla con ghosting, retardo de respuesta del panel","Pantalla defectuosa. Pantalla con ghosting, retardo de respuesta del panel. Inspeccionar conexiones y testear con pantalla externa.",Baja,Calibrar pantalla y actualizar driver de vídeo. Ajustar perfil de color.,En diagnóstico,169.1,3.7
1237,Computadora,Huawei,MateStation B515,Gaming,Puertos,"Puerto SD card no lee tarjetas, slot dañado","Diagnóstico general: Puerto SD card no lee tarjetas, slot dañado. Se requiere revisión técnica especializada.",Baja,Usar puerto alternativo. Monitorear funcionamiento del puerto afectado.,Garantía vigente,45.44,3.3
1238,Laptop,HP,Envy 13,Workstation,Disco Duro/SSD,"Disco duro con PCB quemada, no recibe alimentación","Diagnóstico general: Disco duro con PCB quemada, no recibe alimentación. Se requiere revisión técnica especializada.",Media,Ejecutar CHKDSK y reparación de sectores. Monitorear SMART diariamente.,Reparable,183.08,4.7
1239,Laptop,MSI,Katana 15,Chromebook,Ventilación,"Ventilador no arranca al encender, motor quemado","Diagnóstico general: Ventilador no arranca al encender, motor quemado. Se requiere revisión técnica especializada.",Media,Limpieza de polvo con aire comprimido. Verificar RPM del ventilador.,Reparable,15.16,2.0
1240,Laptop,ASUS,ZenBook 14,Ultrabook,Conectividad,"Velocidad WiFi muy lenta, antena interna dañada","Diagnóstico general: Velocidad WiFi muy lenta, antena interna dañada. Se requiere revisión técnica especializada.",Alta,Reinstalar drivers. Verificar antenas internas. Reemplazar módulo M.2 si aplica.,Requiere reemplazo de componente,16.23,12.3
1241,Laptop,Apple,MacBook Pro 14 M3,Gaming,Disco Duro/SSD,"SSD con vida útil agotada, escrituras fallidas","Diagnóstico general: SSD con vida útil agotada, escrituras fallidas. Se requiere revisión técnica especializada.",Crítica,Clonar disco inmediatamente si es posible. Reemplazo urgente de unidad. Recuperación de datos profesional.,Requiere reemplazo de componente,187.65,9.1
1242,Tablet,Amazon,Fire HD 10,Educacional,Ventilación,"Ventilador siempre al 100%, sensor de temperatura defectuoso","Diagnóstico general: Ventilador siempre al 100%, sensor de temperatura defectuoso. Se requiere revisión técnica especializada.",Media,Limpieza de polvo con aire comprimido. Verificar RPM del ventilador.,Reparable,38.7,3.9
1243,Computadora,MSI,Infinite RS 13th,SFF,Motherboard,Circuito de protección de sobretensión activado permanentemente,Diagnóstico general: Circuito de protección de sobretensión activado permanentemente. Se requiere revisión técnica especializada.,Crítica,Reemplazo de placa madre. Evaluar costo vs equipo nuevo. Rescatar componentes reutilizables.,Fuera de servicio,410.93,18.8
1244,Tablet,Amazon,Fire 7,Educacional,RAM,"SODIMM RAM con pines dañados, contacto intermitente","Diagnóstico: Memoria RAM con errores. SODIMM RAM con pines dañados, contacto intermitente. Ejecutar MemTest86 para confirmar sector dañado.",Alta,Reemplazar módulo RAM dañado. Probar con módulo nuevo en slot afectado.,Reparable,105.55,11.3
1245,Tablet,Samsung,Galaxy Tab A8,Educacional,Teclado,Tecla espacio no responde en zona central,Diagnóstico general: Tecla espacio no responde en zona central. Se requiere revisión técnica especializada.,Media,Limpiar contacto de teclas afectadas. Verificar flex de conexión.,Reparable,113.04,3.5
1246,Tablet,Xiaomi,Pad 5 Pro 5G,eReader,GPU,GPU integrada causa parpadeo en pantalla,Fallo en sistema de visualización. GPU integrada causa parpadeo en pantalla. Verificar cable flex y controlador de backlight.,Media,Reinstalar drivers con DDU. Verificar temperatura y ventilación de GPU.,Reparable,572.69,1.2
1247,Laptop,ASUS,Chromebook CX1,Empresarial,Motherboard,"No hay vídeo, GPU integrada de motherboard fallida","Diagnóstico: Motherboard defectuosa. No hay vídeo, GPU integrada de motherboard fallida. Verificar todas las pistas y componentes SMD.",Media,Reparar pista o componente específico. Verificar todos los circuitos de alimentación.,Garantía vigente,440.95,3.4
1248,Computadora,Custom/Genérica,PC Oficina i5-12400,Workstation,Disco Duro/SSD,Disco muestra advertencia de fallo inminente,Diagnóstico general: Disco muestra advertencia de fallo inminente. Se requiere revisión técnica especializada.,Media,Ejecutar CHKDSK y reparación de sectores. Monitorear SMART diariamente.,Garantía vigente,59.58,3.8
1249,Computadora,HP,OMEN 25L,Mini PC,GPU,"Pantalla azul VIDEO_TDR_FAILURE, GPU dedicada fallida","Fallo en sistema de visualización. Pantalla azul VIDEO_TDR_FAILURE, GPU dedicada fallida. Verificar cable flex y controlador de backlight.",Crítica,"Reemplazo de GPU dedicada. Si es integrada, reemplazo de motherboard.",Requiere reemplazo de componente,486.12,28.5
1250,Computadora,Dell,Alienware Aurora R16,Mini PC,Motherboard,"Power button connector suelto, motherboard no arranca","Problema en circuito de motherboard. Power button connector suelto, motherboard no arranca. Medir voltajes en puntos de test para localizar falla.",Alta,Reparación especializada de microsoldadura. Reemplazar componentes SMD dañados.,Requiere reemplazo de componente,340.6,16.2
1251,Computadora,Dell,Alienware Aurora R16,All-in-One,Disco Duro/SSD,SSD con escritura lenta después de 80% de capacidad,Diagnóstico general: SSD con escritura lenta después de 80% de capacidad. Se requiere revisión técnica especializada.,Alta,Respaldar datos y reemplazar disco. Ejecutar recuperación con herramientas especializadas.,En diagnóstico,71.81,23.8
1252,Computadora,Custom/Genérica,PC Oficina i5-12400,All-in-One,Motherboard,"Chip de audio dañado en motherboard, sin sonido","Diagnóstico: Motherboard defectuosa. Chip de audio dañado en motherboard, sin sonido. Verificar todas las pistas y componentes SMD.",Baja,Limpieza profunda y rethermal. Verificar conexiones y reseat de componentes.,Reparable,180.36,2.7
1253,Laptop,MSI,Bravo 15,Empresarial,Pantalla,"Pantalla parpadea constantemente, inverter defectuoso","Problema de display detectado. Pantalla parpadea constantemente, inverter defectuoso. Evaluar reemplazo de panel o componentes asociados.",Baja,Calibrar pantalla y actualizar driver de vídeo. Ajustar perfil de color.,Reparable,338.29,0.9
1254,Computadora,Custom/Genérica,PC Workstation Xeon,Micro,Motherboard,BIOS chip dañado físicamente en la motherboard,Fallo en firmware BIOS. BIOS chip dañado físicamente en la motherboard. Se recomienda reemplazo de chip BIOS.,Crítica,Reemplazo de placa madre. Evaluar costo vs equipo nuevo. Rescatar componentes reutilizables.,Requiere reemplazo de componente,286.57,5.8
1255,Tablet,ASUS,ZenPad Z8s,2 en 1,Disco Duro/SSD,SSD con escritura lenta después de 80% de capacidad,Diagnóstico general: SSD con escritura lenta después de 80% de capacidad. Se requiere revisión técnica especializada.,Crítica,Clonar disco inmediatamente si es posible. Reemplazo urgente de unidad. Recuperación de datos profesional.,En diagnóstico,162.47,21.6
1256,Computadora,Custom/Genérica,PC Economica Ryzen 5,Servidor,Puertos,"Puerto Ethernet no detecta cable, LED no enciende","Diagnóstico general: Puerto Ethernet no detecta cable, LED no enciende. Se requiere revisión técnica especializada.",Baja,Usar puerto alternativo. Monitorear funcionamiento del puerto afectado.,Reparable,132.9,1.9
1257,Computadora,Apple,Mac Pro 2023,Torre,Ventilación,"Pasta térmica seca, temperatura CPU sobre 95°C","Diagnóstico general: Pasta térmica seca, temperatura CPU sobre 95°C. Se requiere revisión técnica especializada.",Baja,Limpieza preventiva y monitoreo de temperaturas. Ajustar curva de ventilador.,En diagnóstico,33.02,1.1
1258,Laptop,Samsung,Galaxy Book Go,Empresarial,Disco Duro/SSD,"Disco muestra capacidad incorrecta, tabla de particiones dañada","Diagnóstico general: Disco muestra capacidad incorrecta, tabla de particiones dañada. Se requiere revisión técnica especializada.",Alta,Respaldar datos y reemplazar disco. Ejecutar recuperación con herramientas especializadas.,En diagnóstico,60.75,9.1
1259,Tablet,ASUS,ZenPad Z8s,Educacional,Pantalla,"Bisagra rota daña cable de pantalla, imagen se corta","Pantalla defectuosa. Bisagra rota daña cable de pantalla, imagen se corta. Inspeccionar conexiones y testear con pantalla externa.",Media,Reemplazar cable flex o inverter. Verificar conexión al motherboard.,En diagnóstico,217.11,3.1
1260,Computadora,Dell,Vostro 3710,All-in-One,RAM,RAM no se inicializa al arrancar en frío,Problema de memoria. RAM no se inicializa al arrancar en frío. Revisar slots y limpieza de contactos con alcohol isopropílico.,Baja,Ejecutar diagnóstico de memoria extendido. Monitorear en próximos días.,Reparable,54.71,2.2
1261,Tablet,ASUS,ZenPad Z8s,Gaming,Motherboard,"Placa madre no enciende, sin luz de power","Diagnóstico general: Placa madre no enciende, sin luz de power. Se requiere revisión técnica especializada.",Media,Reparar pista o componente específico. Verificar todos los circuitos de alimentación.,Reparable,427.93,1.7
1262,Tablet,Huawei,MatePad Pro 12.6,Estándar,Batería,"Batería no carga al 100%, se detiene en 80%","Problema de energía de batería. Batería no carga al 100%, se detiene en 80%. Evaluar seguridad de uso continuo.",Media,Calibrar batería siguiendo procedimiento del fabricante. Verificar ciclo de carga.,Garantía vigente,70.9,1.5
1263,Computadora,Dell,Vostro 3710,SFF,RAM,"Pantalla azul IRQL_NOT_LESS_OR_EQUAL, corrupción en RAM","Fallo de memoria detectado. Pantalla azul IRQL_NOT_LESS_OR_EQUAL, corrupción en RAM. Se recomienda reemplazar módulo defectuoso.",Baja,Ejecutar diagnóstico de memoria extendido. Monitorear en próximos días.,Garantía vigente,83.72,2.4
1264,Computadora,Lenovo,Legion Tower 5i,SFF,Disco Duro/SSD,"Sistema no arranca, sector de arranque dañado en disco","Diagnóstico general: Sistema no arranca, sector de arranque dañado en disco. Se requiere revisión técnica especializada.",Alta,Respaldar datos y reemplazar disco. Ejecutar recuperación con herramientas especializadas.,En diagnóstico,76.98,7.1
1265,Computadora,ASUS,ExpertCenter D5,Mini PC,Fuente de Poder,"Voltaje de 5V fuera de especificación, USB inestable","Diagnóstico general: Voltaje de 5V fuera de especificación, USB inestable. Se requiere revisión técnica especializada.",Alta,Reemplazar fuente con certificación adecuada. Verificar potencia necesaria.,Requiere reemplazo de componente,142.79,12.0
1266,Computadora,HP,Z4 G5 Workstation,Torre,Motherboard,"Placa madre no enciende, sin luz de power","Diagnóstico general: Placa madre no enciende, sin luz de power. Se requiere revisión técnica especializada.",Baja,Limpieza profunda y rethermal. Verificar conexiones y reseat de componentes.,Reparable,244.7,2.9
1267,Laptop,Apple,MacBook Air M2,Workstation,RAM,"Pantalla azul IRQL_NOT_LESS_OR_EQUAL, corrupción en RAM","Fallo de memoria detectado. Pantalla azul IRQL_NOT_LESS_OR_EQUAL, corrupción en RAM. Se recomienda reemplazar módulo defectuoso.",Media,Limpiar contactos con alcohol isopropílico. Reubicar módulos en slots diferentes.,En diagnóstico,30.99,1.8
1268,Computadora,Gigabyte,Aero D1 Desktop,All-in-One,Motherboard,Conector de pantalla dañado en motherboard de laptop,Problema en circuito de motherboard. Conector de pantalla dañado en motherboard de laptop. Medir voltajes en puntos de test para localizar falla.,Media,Reparar pista o componente específico. Verificar todos los circuitos de alimentación.,En diagnóstico,468.85,4.5
1269,Laptop,MSI,Modern 14,2 en 1,RAM,RAM causa corrupción de archivos en disco,Inestabilidad por RAM defectuosa. RAM causa corrupción de archivos en disco. Probar módulos individualmente para aislar el dañado.,Media,Limpiar contactos con alcohol isopropílico. Reubicar módulos en slots diferentes.,Reparable,50.58,2.2
1270,Laptop,ASUS,VivoBook S14,Workstation,GPU,"Cuelgues al usar aplicaciones 3D, GPU sobrecalentada","Diagnóstico: Tarjeta gráfica defectuosa. Cuelgues al usar aplicaciones 3D, GPU sobrecalentada. Testear con FurMark para reproducir fallo.",Alta,Reflow o reball de GPU. Reemplazar pasta térmica. Verificar alimentación.,En diagnóstico,110.86,21.3
1271,Laptop,Apple,MacBook Pro 16 M3 Pro,Chromebook,Sistema Operativo,"Kernel panic en macOS, extensión incompatible","Diagnóstico general: Kernel panic en macOS, extensión incompatible. Se requiere revisión técnica especializada.",Media,Restaurar sistema a punto anterior. Eliminar software problemático.,Reparable,26.73,7.0
1272,Computadora,Lenovo,ThinkCentre M90q,Servidor,GPU,"Error CODE 43 en GPU, Windows deshabilitó el dispositivo","GPU fallida. Error CODE 43 en GPU, Windows deshabilitó el dispositivo. Si es integrada, motherboard necesita reemplazo.",Media,Reinstalar drivers con DDU. Verificar temperatura y ventilación de GPU.,Reparable,190.42,6.9
1273,Computadora,Dell,Precision 3650,Workstation,Puertos,Puertos USB dan descarga estática al conectar,Problema en interfaz de puertos. Puertos USB dan descarga estática al conectar. Probar con dispositivos conocidos como buenos.,Baja,Usar puerto alternativo. Monitorear funcionamiento del puerto afectado.,Reparable,151.56,2.8
1274,Laptop,HP,Pavilion 15,Empresarial,Batería,"Laptop se apaga al desconectar el cargador, batería muerta","Fallo en sistema de alimentación por batería. Laptop se apaga al desconectar el cargador, batería muerta. Reemplazo de batería necesario.",Baja,Reemplazar batería cuando sea conveniente. Funciona con limitaciones.,En diagnóstico,141.14,1.2
1275,Laptop,ASUS,ZenBook Pro 16,Económica,Disco Duro/SSD,"Sistema no arranca, sector de arranque dañado en disco","Diagnóstico general: Sistema no arranca, sector de arranque dañado en disco. Se requiere revisión técnica especializada.",Alta,Respaldar datos y reemplazar disco. Ejecutar recuperación con herramientas especializadas.,Requiere reemplazo de componente,158.52,20.4
1276,Laptop,Dell,XPS 15,Chromebook,Pantalla,"Flex de pantalla dañado, imagen intermitente","Diagnóstico: Panel o componentes de pantalla dañados. Flex de pantalla dañado, imagen intermitente. Probar con monitor externo para descartar GPU.",Media,Reemplazar cable flex o inverter. Verificar conexión al motherboard.,Garantía vigente,394.74,6.8
1277,Computadora,HP,ProDesk 600 G6,Gaming,Batería,"Advertencia de batería genuina, chip de autenticación dañado","Problema de energía de batería. Advertencia de batería genuina, chip de autenticación dañado. Evaluar seguridad de uso continuo.",Media,Calibrar batería siguiendo procedimiento del fabricante. Verificar ciclo de carga.,Reparable,148.76,7.4
1278,Tablet,Xiaomi,Pad 6 Pro,Estándar,Batería,"Ciclos de carga excedidos, salud de batería crítica","Batería degradada. Ciclos de carga excedidos, salud de batería crítica. Verificar con diagnóstico de fabricante.",Crítica,Retirar batería inmediatamente por seguridad (inflamación). Usar solo con cargador.,Fuera de servicio,36.15,7.5
1279,Laptop,Lenovo,ThinkBook 15,Chromebook,Motherboard,Motherboard no entra en suspensión correctamente,Diagnóstico: Motherboard defectuosa. Motherboard no entra en suspensión correctamente. Verificar todas las pistas y componentes SMD.,Media,Reparar pista o componente específico. Verificar todos los circuitos de alimentación.,Garantía vigente,300.85,7.3
1280,Laptop,Acer,Aspire 7,Workstation,Motherboard,"Motherboard con pista dañada, circuito abierto","Diagnóstico: Motherboard defectuosa. Motherboard con pista dañada, circuito abierto. Verificar todas las pistas y componentes SMD.",Media,Reparar pista o componente específico. Verificar todos los circuitos de alimentación.,En diagnóstico,215.41,7.7
1281,Tablet,ASUS,Chromebook Detachable CZ1,Profesional,Disco Duro/SSD,"Disco duro hace clic repetitivo, fallo mecánico inminente","Diagnóstico general: Disco duro hace clic repetitivo, fallo mecánico inminente. Se requiere revisión técnica especializada.",Alta,Respaldar datos y reemplazar disco. Ejecutar recuperación con herramientas especializadas.,En diagnóstico,96.5,2.2
1282,Computadora,ASUS,ROG Strix G35,Micro,Teclado,"Teclado retroiluminado no enciende, LED defectuoso","Fallo en dispositivo de entrada. Teclado retroiluminado no enciende, LED defectuoso. Evaluar reemplazo de teclado.",Media,Limpiar contacto de teclas afectadas. Verificar flex de conexión.,Reparable,71.18,3.4
1283,Tablet,Lenovo,Idea Tab K10,2 en 1,Pantalla,"Pantalla con dead zones, zonas que no responden al tacto","Display con defecto. Pantalla con dead zones, zonas que no responden al tacto. Reemplazo de panel recomendado si costo es viable.",Media,Reemplazar cable flex o inverter. Verificar conexión al motherboard.,Reparable,90.82,6.4
1284,Laptop,ASUS,ZenBook Pro 16,Workstation,Batería,"Batería no carga al 100%, se detiene en 80%","Fallo en sistema de alimentación por batería. Batería no carga al 100%, se detiene en 80%. Reemplazo de batería necesario.",Alta,Reemplazar batería con original de fabricante. No usar baterías genéricas.,Requiere reemplazo de componente,138.48,4.7
1285,Tablet,Huawei,MatePad Paper,Profesional,Motherboard,"PCIe slot dañado, tarjeta gráfica no detectada","Diagnóstico general: PCIe slot dañado, tarjeta gráfica no detectada. Se requiere revisión técnica especializada.",Alta,Reparación especializada de microsoldadura. Reemplazar componentes SMD dañados.,Reparable,141.21,18.4
1286,Tablet,Huawei,MatePad Paper,Profesional,Sistema Operativo,"Actualización de Windows fallida, bucle de reinicio","Diagnóstico general: Actualización de Windows fallida, bucle de reinicio. Se requiere revisión técnica especializada.",Media,Restaurar sistema a punto anterior. Eliminar software problemático.,Garantía vigente,0.66,7.6
1287,Laptop,Apple,MacBook Air M1,Chromebook,Pantalla,"Pantalla con color amarillento, perfil de color corrupto","Display con defecto. Pantalla con color amarillento, perfil de color corrupto. Reemplazo de panel recomendado si costo es viable.",Media,Reemplazar cable flex o inverter. Verificar conexión al motherboard.,Garantía vigente,135.32,4.0
1288,Computadora,Dell,Alienware Aurora R16,Micro,Ventilación,Acumulación excesiva de polvo en ventilador y disipador,Diagnóstico general: Acumulación excesiva de polvo en ventilador y disipador. Se requiere revisión técnica especializada.,Baja,Limpieza preventiva y monitoreo de temperaturas. Ajustar curva de ventilador.,En diagnóstico,18.14,3.6
1289,Computadora,Apple,Mac Studio M2 Max,Gaming,Disco Duro/SSD,Partición de recuperación inaccesible en disco,Diagnóstico general: Partición de recuperación inaccesible en disco. Se requiere revisión técnica especializada.,Media,Ejecutar CHKDSK y reparación de sectores. Monitorear SMART diariamente.,En diagnóstico,148.55,4.5
1290,Laptop,ASUS,ExpertBook B5,Chromebook,Conectividad,"Conexión Ethernet limitada a 10Mbps, negociación fallida","Diagnóstico general: Conexión Ethernet limitada a 10Mbps, negociación fallida. Se requiere revisión técnica especializada.",Crítica,"Reemplazo de módulo WiFi/Bluetooth. Si es integrado, usar adaptador USB.",En diagnóstico,51.21,48.0
1291,Laptop,Toshiba,Tecra A50,Chromebook,Disco Duro/SSD,SSD con escritura lenta después de 80% de capacidad,Diagnóstico general: SSD con escritura lenta después de 80% de capacidad. Se requiere revisión técnica especializada.,Media,Ejecutar CHKDSK y reparación de sectores. Monitorear SMART diariamente.,Reparable,197.91,5.8
1292,Computadora,Apple,Mac mini M2,Gaming,RAM,"RAM no funciona en dual channel, módulo incompatible","Inestabilidad por RAM defectuosa. RAM no funciona en dual channel, módulo incompatible. Probar módulos individualmente para aislar el dañado.",Crítica,Reemplazo inmediato de módulo RAM defectuoso. Verificar compatibilidad con placa madre.,Requiere reemplazo de componente,55.08,33.9
1293,Tablet,Samsung,Galaxy Tab A8,Educacional,Batería,Sistema entra en hibernación repentino por batería,Problema de energía de batería. Sistema entra en hibernación repentino por batería. Evaluar seguridad de uso continuo.,Media,Calibrar batería siguiendo procedimiento del fabricante. Verificar ciclo de carga.,Garantía vigente,37.66,1.7
1294,Computadora,Huawei,MateStation S,Mini PC,BIOS,Error de checksum en BIOS al arrancar,Fallo en firmware BIOS. Error de checksum en BIOS al arrancar. Se recomienda reemplazo de chip BIOS.,Alta,Flashear BIOS desde USB con método de recuperación del fabricante. Verificar versión actual.,Reparable,148.85,13.4
1295,Computadora,Lenovo,ThinkStation P350,Torre,Teclado,Tecla espacio no responde en zona central,Diagnóstico general: Tecla espacio no responde en zona central. Se requiere revisión técnica especializada.,Alta,Reemplazar teclado completo. Verificar si hay daño adicional por líquido.,Requiere reemplazo de componente,139.46,22.5
1296,Laptop,Huawei,MateBook D15,Workstation,Sistema Operativo,"Sistema se congela aleatoriamente, conflicto de drivers","Diagnóstico general: Sistema se congela aleatoriamente, conflicto de drivers. Se requiere revisión técnica especializada.",Baja,Actualizar Windows/macOS. Ejecutar Windows Update y reparación de archivos.,En diagnóstico,17.95,3.5
1297,Computadora,Huawei,MateStation B515,Torre,Sistema Operativo,"Sistema extremadamente lento, malware detectado","Diagnóstico general: Sistema extremadamente lento, malware detectado. Se requiere revisión técnica especializada.",Alta,Reparación de arranque con herramientas de recuperación. SFC y DISM.,Reparable,53.94,17.5
1298,Laptop,Apple,MacBook Pro 14 M3 Max,Chromebook,Audio,"Audio funciona solo con auriculares, switch de jack atascado","Audio no funcional. Audio funciona solo con auriculares, switch de jack atascado. Reinstalar drivers Realtek/AMD y verificar servicios de audio.",Media,Limpiar jack de audio. Verificar configuración de dispositivos de sonido.,Garantía vigente,55.7,3.7
1299,Tablet,Apple,iPad 9th Gen,Económica,Batería,Batería no detectada por el sistema operativo,Diagnóstico: Batería defectuosa. Batería no detectada por el sistema operativo. Reemplazar con batería original certificada.,Alta,Reemplazar batería con original de fabricante. No usar baterías genéricas.,Requiere reemplazo de componente,128.78,23.4
1300,Laptop,Lenovo,IdeaPad Gaming 3,Empresarial,Pantalla,"Pantalla con líneas verticales, panel LCD dañado","Pantalla defectuosa. Pantalla con líneas verticales, panel LCD dañado. Inspeccionar conexiones y testear con pantalla externa.",Baja,Calibrar pantalla y actualizar driver de vídeo. Ajustar perfil de color.,En diagnóstico,370.91,0.5
1301,Tablet,Xiaomi,Pad 6 Pro,Estándar,GPU,"Pantalla azul VIDEO_TDR_FAILURE, GPU dedicada fallida","Diagnóstico: Panel o componentes de pantalla dañados. Pantalla azul VIDEO_TDR_FAILURE, GPU dedicada fallida. Probar con monitor externo para descartar GPU.",Crítica,"Reemplazo de GPU dedicada. Si es integrada, reemplazo de motherboard.",En diagnóstico,553.62,37.9
1302,Laptop,Huawei,MateBook D15,Workstation,RAM,RAM causa corrupción de archivos en disco,Problema de memoria. RAM causa corrupción de archivos en disco. Revisar slots y limpieza de contactos con alcohol isopropílico.,Crítica,Reemplazo inmediato de módulo RAM defectuoso. Verificar compatibilidad con placa madre.,En diagnóstico,96.94,20.1
1303,Laptop,Lenovo,Legion Pro 7,Workstation,Ventilación,"CPU se sobrecalienta, ventilador no gira","Diagnóstico general: CPU se sobrecalienta, ventilador no gira. Se requiere revisión técnica especializada.",Media,Limpieza de polvo con aire comprimido. Verificar RPM del ventilador.,Garantía vigente,31.75,6.3
1304,Computadora,Acer,Veriton X2680G,Micro,Teclado,"Teclado se desconecta aleatoriamente, flex dañado","Fallo en dispositivo de entrada. Teclado se desconecta aleatoriamente, flex dañado. Evaluar reemplazo de teclado.",Baja,Limpiar tecla específica o reemplazar keycap. Verificar configuración de idioma.,Reparable,147.86,4.0
1305,Laptop,Acer,Swift 3,Económica,Puertos,Puertos USB dan descarga estática al conectar,Diagnóstico: Puerto defectuoso. Puertos USB dan descarga estática al conectar. Inspeccionar pines y soldaduras con lupa.,Crítica,Reemplazo de placa de puertos o motherboard. Daño irreparable en múltiples puertos.,Fuera de servicio,125.86,35.8
1306,Laptop,ASUS,ROG Zephyrus G14,Gaming,Batería,Error de comunicación entre batería y ACPI,Batería en estado crítico. Error de comunicación entre batería y ACPI. Retirar si está inflada por riesgo de seguridad.,Baja,Reemplazar batería cuando sea conveniente. Funciona con limitaciones.,En diagnóstico,138.24,1.1
